CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/18/2022,11:12,MANHATTAN,10002,40.723274,-73.99122,"(40.723274, -73.99122)",,,229       CHRYSTIE STREET,1,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4520062,Sedan,E-Scooter,,,
04/18/2022,18:28,BROOKLYN,11214,40.59952,-73.99876,"(40.59952, -73.99876)",BATH AVENUE,BAY 28 STREET,,1,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4520132,E-Bike,Sedan,,,
04/18/2022,10:40,STATEN ISLAND,10304,40.62551,-74.07599,"(40.62551, -74.07599)",BROAD STREET,BROWNELL STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4520014,Station Wagon/Sport Utility Vehicle,Sedan,,,
04/18/2022,13:49,BRONX,10460,40.840607,-73.87516,"(40.840607, -73.87516)",,,430       BRONX PARK AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4520240,Sedan,Pick-up Truck,,,
04/18/2022,18:14,MANHATTAN,10013,,,,,,101       LEONARD STREET,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4520655,Sedan,Van,,,
04/18/2022,1:49,BROOKLYN,11235,40.58207,-73.95513,"(40.58207, -73.95513)",,,35        CASS PLACE,0,0,0,0,0,0,0,0,Unspecified,,,,,4519792,Station Wagon/Sport Utility Vehicle,,,,
04/18/2022,20:26,BROOKLYN,11217,40.681484,-73.97703,"(40.681484, -73.97703)",5 AVENUE,BERGEN STREET,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4520319,Station Wagon/Sport Utility Vehicle,Box Truck,,,
04/18/2022,8:00,BRONX,10467,40.884167,-73.86467,"(40.884167, -73.86467)",,,647       EAST 219 STREET,0,0,0,0,0,0,0,0,Passing Too Closely,,,,,4520393,Station Wagon/Sport Utility Vehicle,,,,
04/18/2022,0:00,,,40.694794,-73.98246,"(40.694794, -73.98246)",PRINCE STREET,,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,4520725,Sedan,,,,
04/18/2022,19:48,MANHATTAN,10028,40.780174,-73.95721,"(40.780174, -73.95721)",EAST 86 STREET,PARK AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4520185,Sedan,Sedan,,,
